,date,temp,humidity,wind_speed,clouds_all,holiday,Sabor 1,Sabor 2,Sabor 3,Sabor 4,Sabor 5,Sabor 6,Sabor 7,Sabor 8,Sabor 9,Sabor 10,Sabor 11,Sabor 12,Sabor 13,Sabor 14,Sabor 15,Sabor 16,Sabor 17,Sabor 18,Sabor 19,Sabor 20,Sabor 21,Sabor 22,Sabor 23,Sabor 24,Sabor 25,Sabor 26,Sabor 27,Sabor 28,Sabor 29,Sabor 30,Sabor 31,Sabor 32,Sabor 33,Sabor 34,Sabor 35,Sabor 36,Sabor 37,Sabor 38,Sabor 39,Sabor 40,Sabor 41,Sabor 42,Sabor 43,Sabor 44,Sabor 45,Sabor 46,Sabor 47,Sabor 48,Sabor 49,Sabor 50,Sabor 51,Sabor 52,Sabor 53,Sabor 54,Sabor 55,Sabor 56,Sabor 57,Sabor 58,Sabor 59,Sabor 60,Sabor 61,Sabor 62,Sabor 63,Sabor 64,Sabor 65,Sabor 66,Sabor 67,Sabor 68,Sabor 69,Sabor 70,Sabor 71,Sabor 72,Sabor 73,Sabor 74,Sabor 75,Sabor 76,Sabor 77,Sabor 78,Sabor 79
0,2022-01-01,25.9504,64.0,3.27,40.0,True,5.36,12.45,5.47,5.03,0.0,12.41,11.6,5.6,6.22,11.21,0.0,11.71,12.54,6.1,17.08,5.98,0.0,11.21,5.74,12.91,16.95,11.32,5.72,23.83,7.42,6.06,18.48,13.96,13.99,8.46,11.24,8.0,4.0,0.0,5.55,0.0,0.0,0.0,24.0,24.0,12.0,1.06,1.09,13.29,6.69,1.0,2.0,13.7,5.04,417.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2022-01-02,25.956666666666667,80.0,2.57,0.5,False,22.92,0.0,26.5,0.0,0.0,32.5,5.08,5.12,0.0,25.26,11.66,0.0,31.2,5.84,0.0,15.57,0.0,5.66,18.99,30.62,17.83,16.83,11.19,11.33,22.89,0.0,32.29,13.7,36.49,0.0,0.0,24.54,16.03,0.0,26.01,13.07,0.0,0.0,24.34,0.0,12.55,18.72,0.0,25.99,0.0,21.09,23.91,0.0,0.0,4.0,5.15,17.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0,12.63,200.0,0.0,0.0,120.0,0.0,120.0,120.0,0.0,1.07,0.0,37.09,43.6,0.0,20.0,50.0,28.03,11.63
2,2022-01-03,28.2904,67.0,2.06,0.0,False,34.39,0.0,35.99,0.0,0.0,32.64,20.1,20.37,0.0,49.79,17.71,0.0,18.51,6.33,0.0,18.14,0.0,0.0,18.09,42.61,16.45,34.07,22.46,5.47,35.62,0.0,60.89,20.82,41.58,0.0,0.0,28.7,26.47,0.0,24.66,18.26,0.0,0.0,28.52,0.0,25.05,6.05,0.0,25.98,0.0,21.14,17.8,12.0,0.0,4.0,4.5,24.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,7.28,0.0,0.0,0.0,600.0,0.0,120.0,360.0,0.0,3.17,3.29,30.47,37.01,0.0,20.0,50.0,25.95,10.61
3,2022-01-04,26.944615384615386,69.0,4.955,0.0,False,10.66,0.0,12.38,0.0,0.0,21.97,0.0,10.21,0.0,22.96,11.5,0.0,12.18,0.0,0.0,10.77,0.0,0.0,12.53,18.18,5.57,10.68,10.62,5.87,17.22,0.0,23.52,6.4,5.43,0.0,0.0,11.6,10.9,0.0,11.86,0.0,0.0,0.0,5.4,0.0,0.0,5.96,0.0,6.59,0.0,6.96,16.79,8.0,0.0,8.0,0.0,6.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,1.02,11.89,11.54,0.0,10.0,10.0,11.3,5.59
4,2022-01-05,24.38125,53.5,4.885,0.0,False,11.42,0.0,23.53,0.0,0.0,18.89,5.05,5.07,0.0,26.02,5.47,0.0,18.09,0.0,0.0,29.78,0.0,6.6,20.08,27.0,5.65,29.05,16.41,0.0,4.58,0.0,23.51,12.75,16.89,0.0,0.0,6.02,5.19,0.0,18.07,33.13,0.0,0.0,11.52,0.0,0.0,12.55,0.0,6.13,0.0,6.95,12.49,16.0,0.0,4.0,22.17,10.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,11.99,200.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,1.04,3.06,18.13,25.47,0.0,60.0,70.0,12.66,11.94
5,2022-01-06,23.38208333333333,52.0,4.63,0.0,False,0.0,0.0,6.15,0.0,0.0,5.53,5.01,0.0,0.0,6.54,11.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.04,6.63,0.0,0.0,0.0,5.63,5.64,0.0,5.48,6.78,5.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
6,2022-01-07,25.496666666666663,50.5,3.6,0.0,False,10.88,0.0,0.0,0.0,0.0,16.09,10.09,10.19,0.0,11.76,10.69,0.0,0.0,0.0,0.0,11.2,0.0,5.86,13.34,23.01,0.0,16.8,11.75,0.0,5.93,0.0,23.67,6.79,28.04,0.0,0.0,20.22,4.58,0.0,12.05,6.47,0.0,0.0,11.28,0.0,10.99,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,4.0,15.79,10.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,12.0,200.0,0.0,0.0,120.0,0.0,240.0,0.0,1.0,0.0,0.0,6.34,11.13,0.0,10.0,10.0,12.55,10.39
7,2022-01-08,26.61083333333333,53.0,4.12,0.0,False,20.07,0.0,20.01,0.0,27.0,10.61,20.13,30.94,0.0,5.75,21.42,0.0,0.0,12.67,0.0,5.42,0.0,6.45,6.13,11.48,6.03,17.78,0.0,5.01,5.42,0.0,30.61,0.0,11.3,0.0,0.0,7.11,17.09,0.0,32.55,11.52,0.0,0.0,11.36,0.0,0.0,0.0,0.0,5.53,0.0,0.0,11.33,8.0,8.0,8.0,6.03,5.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1080.0,11.95,200.0,0.0,240.0,240.0,0.0,360.0,120.0,1.01,3.13,2.09,7.31,6.49,0.0,10.0,10.0,6.53,4.75
8,2022-01-09,26.960416666666664,55.5,3.62,0.0,False,16.68,0.0,19.22,0.0,0.0,11.78,25.19,10.22,0.0,12.72,11.91,0.0,19.17,0.0,0.0,21.61,0.0,11.16,19.06,5.92,5.96,17.57,11.41,5.25,11.31,0.0,11.33,11.94,11.54,0.0,0.0,21.08,5.11,0.0,6.02,0.0,0.0,0.0,6.14,0.0,5.73,6.73,0.0,7.14,0.0,0.0,0.0,4.0,8.0,8.0,12.45,4.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1620.0,6.76,400.0,0.0,120.0,120.0,0.0,120.0,240.0,0.0,0.0,2.04,17.49,12.89,0.0,10.0,20.0,11.97,10.06
9,2022-01-10,29.88875,51.0,2.06,0.0,False,10.56,0.0,29.63,0.0,0.0,16.06,5.02,5.08,0.0,22.89,11.68,0.0,11.93,18.24,0.0,16.34,0.0,11.7,11.67,35.16,17.25,28.06,11.09,6.39,17.37,0.0,48.26,12.96,29.83,0.0,0.0,18.25,14.44,0.0,18.25,12.06,0.0,0.0,10.02,0.0,11.42,12.54,0.0,19.9,0.0,7.47,17.23,4.0,0.0,4.0,4.17,5.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,11.72,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,1.05,3.09,30.21,30.65,0.0,0.0,40.0,5.97,6.88
